Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Genome representation (RefSeq)
UP000287544	Fusarium sp. AF-6 (Strain: NRRL62590)	1325737	15273	C:96.5%[S:96.2%,D:0.4%],F:0.9%,M:2.5%,n:4494	Standard	full
UP000290900	Brettanomyces naardenensis (Yeast)	13370	5175	C:94.1%[S:93.7%,D:0.4%],F:2.6%,M:3.3%,n:2137	Close to standard (low value)	full
UP000298663	Steinernema carpocapsae (Entomopathogenic nematode) (Strain: ALL)	34508	36344	C:74.9%[S:57.3%,D:17.6%],F:3.7%,M:21.4%,n:3131	Close to standard (high value)	full
UP000243579	Achlya hypogyna (Strain: ATCC 48635)	1202772	14400	C:99%[S:98%,D:1%],F:1%,M:0%,n:100	Unknown	full
UP000007148	Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica) (Strain: DSM 11827)	1109443	11780	C:88.9%[S:88.5%,D:0.4%],F:2.9%,M:8.2%,n:2898	Standard	full
UP000191408	Penicillium polonicum (Strain: IBT 4502)	60169	10627	C:92.9%[S:92.4%,D:0.5%],F:0.1%,M:7%,n:4191	Standard	full
UP000001743	Postia placenta (strain ATCC 44394 / Madison 698-R) (Brown rot fungus) (Poria monticola) (Strain: ATCC 44394 / Madison 698-R)	561896	8983	C:31.1%[S:24.9%,D:6.2%],F:4%,M:64.9%,n:4464	Close to standard (low value)	full
UP000053319	Dichomitus squalens (strain LYAD-421) (Western red white-rot fungus) (Strain: LYAD-421 SS1)	732165	7183	C:41.2%[S:40.8%,D:0.4%],F:0.6%,M:58.2%,n:4464	Close to standard (low value)	full
UP000234275	Aspergillus steynii IBT 23096 (Strain: IBT 23096)	1392250	12965	C:97.8%[S:97.5%,D:0.3%],F:1%,M:1.3%,n:4191	Close to standard (high value)	full
UP000053259	Verruconis gallopava (Strain: CBS 43764)	253628	10768	C:95.7%[S:84.6%,D:11.1%],F:0.3%,M:3.9%,n:3786	Standard	full
UP000256645	Coleophoma cylindrospora (Strain: BP6252)	1849047	14176	C:93.4%[S:92.5%,D:0.8%],F:0.8%,M:5.8%,n:5177	Close to standard (high value)	full
UP000579558	Notiomystis cincta	366454	13629	C:70.6%[S:70.4%,D:0.2%],F:6.9%,M:22.5%,n:10844	Standard	full
UP000030671	Heterobasidion irregulare (strain TC 32-1) (Strain: TC 32-1)	747525	13159	C:97.1%[S:96.5%,D:0.7%],F:1.4%,M:1.5%,n:2898	Standard	full
UP000561178	Rhipidura dahli	667186	14156	C:77%[S:76.8%,D:0.2%],F:5%,M:18%,n:10844	Close to standard (high value)	full
UP000261660	Labrus bergylta (ballan wrasse)	56723	37793	C:94.1%[S:66.6%,D:27.6%],F:2.8%,M:3.1%,n:3640	Close to standard (high value)	full
UP000070544	Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera) (Strain: JEL478)	1344416	13801	C:83.6%[S:80.9%,D:2.8%],F:3.3%,M:13.1%,n:758	Unknown	full
UP000472277	Salmo trutta (Brown trout)	8032	114752	C:97.9%[S:26.3%,D:71.6%],F:0.6%,M:1.5%,n:3640	Outlier (high value)	full
UP000001450	Plasmodium falciparum (isolate 3D7) (Strain: Isolate 3D7)	36329	5384	C:99.1%[S:98%,D:1.1%],F:0%,M:0.9%,n:3642	Standard	full
UP000011715	Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae) (Strain: ATCC 64411 / 73-15)	644358	11303	C:76.1%[S:74.8%,D:1.3%],F:7.1%,M:16.8%,n:3817	Standard	full
UP000002280	Monodelphis domestica (Gray short-tailed opossum)	13616	36220	C:88%[S:53.5%,D:34.5%],F:2%,M:10%,n:9226	Standard	full
UP000054681	Trichinella sp. T9	181606	17770	C:64.7%[S:37.3%,D:27.4%],F:0.7%,M:34.6%,n:3131	Unknown	full
UP000252748	Ophiocordyceps camponoti-leonardi (nom. inval.) (Strain: BCC 80369)	2039875	7043	C:90.8%[S:89.7%,D:1%],F:0.8%,M:8.5%,n:4494	Close to standard (low value)	full
UP000573697	Polioptila caerulea (Blue-grey gnatcatcher)	66707	13534	C:74.7%[S:74.5%,D:0.2%],F:5.3%,M:20%,n:10844	Standard	full
UP000589495	Vireo altiloquus (Black-whiskered vireo)	34956	14067	C:74.2%[S:73.9%,D:0.3%],F:5.3%,M:20.5%,n:10844	Standard	full
UP000294933	Rickenella mellea (Strain: SZMC22713)	50990	17053	C:98.9%[S:97.6%,D:1.3%],F:0.3%,M:0.8%,n:2898	Close to standard (high value)	full
UP000558509	Thryothorus ludovicianus (Carolina wren)	74200	13660	C:73%[S:72.7%,D:0.3%],F:5.6%,M:21.4%,n:10844	Standard	full
UP000094389	Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542) (Torula yeast) (Candida utilis) (Strain: ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542)	983966	5994	C:96.5%[S:95.2%,D:1.3%],F:2%,M:1.5%,n:2137	Close to standard (high value)	full
UP000031036	Toxocara canis (Canine roundworm)	6265	18499	C:87.7%[S:85.2%,D:2.5%],F:3.6%,M:8.7%,n:3131	Close to standard (high value)	full
UP000574528	Psilopogon haemacephalus	2585815	13526	C:74.6%[S:74.3%,D:0.3%],F:6.6%,M:18.9%,n:8338	Standard	full
UP000008237	Harpegnathos saltator (Jerdon's jumping ant) (Strain: R22 G/1)	610380	15029	C:87.2%[S:86.8%,D:0.4%],F:6%,M:6.8%,n:5991	Standard	full
UP000030854	Uncinula necator (Grape powdery mildew) (Strain: c)	52586	6482	C:88.7%[S:88.6%,D:0.1%],F:2.8%,M:8.5%,n:3234	Close to standard (low value)	full
UP000247810	Aspergillus ellipticus CBS 707.79 (Strain: CBS 707.79)	1448320	12861	C:97.1%[S:96.7%,D:0.4%],F:1.2%,M:1.7%,n:4191	Close to standard (high value)	full
UP000031668	Thelohanellus kitauei (Myxosporean)	669202	14792	C:25.4%[S:23.8%,D:1.6%],F:7.9%,M:66.8%,n:954	Unknown	full
UP000001555	Ixodes scapularis (Black-legged tick) (Deer tick) (Strain: Wikel)	6945	20484	C:86.8%[S:85.1%,D:1.7%],F:5.9%,M:7.3%,n:2934	Unknown	full
UP000219813	Plasmodium malariae	5858	5915	C:99%[S:98.9%,D:0.1%],F:0%,M:1%,n:3642	Standard	full
UP000297452	Botryotinia narcissicola (Strain: MUCL2120)	278944	12236		Standard	full
UP000326924	Sphaerosporella brunnea (Strain: Sb_GMNB300)	1250544	12382	C:94.5%[S:88.7%,D:5.9%],F:0.8%,M:4.7%,n:1706	Unknown	full
UP000215335	Trichomalopsis sarcophagae (Strain: Alberta)	543379	16064	C:75.8%[S:75%,D:0.7%],F:3.6%,M:20.6%,n:5991	Standard	full
UP000291343	Laodelphax striatellus (Small brown planthopper) (Delphax striatella)	195883	17309	C:95.4%[S:91.8%,D:3.5%],F:1.2%,M:3.4%,n:2510	Standard	full
UP000053647	Paxillus involutus ATCC 200175 (Strain: ATCC 200175)	664439	11689	C:33%[S:31.4%,D:1.6%],F:1.9%,M:65.1%,n:4878	Close to standard (low value)	full
UP000233040	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	2715852	40117	C:94.2%[S:56.4%,D:37.8%],F:0.9%,M:4.9%,n:13780	Standard	full
UP000076837	Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei) (Strain: ArDII)	5454	10558	C:94.5%[S:94%,D:0.5%],F:0.5%,M:5.1%,n:6641	Close to standard (low value)	full
UP000308652	Crucibulum laeve (Strain: CBS 166.37)	68775	14180	C:98.2%[S:97.5%,D:0.8%],F:0.7%,M:1.1%,n:3870	Standard	full
UP000504627	Pipra filicauda (Wire-tailed manakin)	649802	29436	C:97.9%[S:51.1%,D:46.9%],F:0.5%,M:1.6%,n:10844	Outlier (high value)	full
